freq,CPIAUCSL,EXUSUK,FEDFUNDS,GS1,GS10,INDPRO,PCEPI,TB3MS,UNRATE,WPU0561,PAYEMS,DJIA
1/7/62,30.22,2.8066,2.71,3.29,4.01,26.2856,17.919,2.92,5.4,13.5,55746,581.78
1/8/62,30.28,2.8038,2.93,3.2,3.98,26.3135,17.944,2.82,5.7,13.5,55838,602.51
1/9/62,30.42,2.8009,2.9,3.06,3.98,26.4804,18.031,2.78,5.6,13.5,55977,597.02
1/10/62,30.38,2.8013,2.9,2.98,3.93,26.5082,18.011,2.74,5.4,13.5,56041,580.6499
1/11/62,30.38,2.8019,2.94,3,3.92,26.6194,18.025,2.83,5.7,13.5,56056,628.8201
1/12/62,30.38,2.8033,2.93,3.01,3.86,26.6194,18.018,2.87,5.5,13.5,56028,648.3799
1/1/63,30.44,2.8048,2.92,3.04,3.83,26.8141,18.063,2.91,5.7,13.5,56116,672.1001
1/2/63,30.48,2.8034,3,3.01,3.92,27.1201,18.08,2.92,5.9,13.5,56230,679.75
1/3/63,30.51,2.8006,2.98,3.03,3.93,27.287,18.065,2.89,5.7,13.5,56322,674.6299
1/4/63,30.48,2.8007,2.9,3.11,3.97,27.5374,18.063,2.9,5.7,13.5,56580,707.1201
1/5/63,30.51,2.7996,3,3.12,3.93,27.8711,18.091,2.93,5.9,13.5,56616,720.8401
1/6/63,30.61,2.8002,2.99,3.2,3.99,27.9546,18.131,2.99,5.6,13.5,56658,719.1399
1/7/63,30.69,2.8008,3.02,3.48,4.02,27.8433,18.166,3.18,5.6,13.5,56794,700.75
1/8/63,30.75,2.7996,3.49,3.53,4,27.899,18.19,3.32,5.4,13.5,56910,714.1499
1/9/63,30.72,2.7977,3.48,3.57,4.08,28.1771,18.187,3.38,5.5,13.5,57077,738.52
1/10/63,30.75,2.7978,3.5,3.64,4.11,28.3718,18.222,3.45,5.5,13.4,57284,747.52
1/11/63,30.78,2.7978,3.48,3.74,4.12,28.5109,18.248,3.52,5.7,13.4,57255,743.24
1/12/63,30.88,2.7965,3.38,3.81,4.13,28.4553,18.276,3.52,5.5,13.4,57360,759.9399
1/1/64,30.94,2.7983,3.48,3.79,4.17,28.7056,18.314,3.52,5.6,13.4,57487,776.6201
1/2/64,30.91,2.7969,3.48,3.78,4.15,28.9003,18.342,3.53,5.4,13.4,57751,793.03
1/3/64,30.94,2.7981,3.43,3.91,4.22,28.9003,18.353,3.54,5.4,13.4,57898,812.1799
1/4/64,30.95,2.799,3.47,3.91,4.23,29.3732,18.368,3.47,5.3,13.4,57922,820.9399
1/5/64,30.98,2.7994,3.5,3.84,4.2,29.5401,18.37,3.48,5.1,13.4,58089,823.1201
1/6/64,31.01,2.7942,3.5,3.83,4.17,29.6235,18.397,3.48,5.2,13.4,58221,817.6299
1/7/64,31.02,2.7897,3.42,3.72,4.19,29.8182,18.421,3.46,4.9,13.4,58413,844.24
1/8/64,31.05,2.7866,3.5,3.74,4.19,30.0129,18.436,3.5,5,13.4,58619,835.3
1/9/64,31.08,2.7834,3.45,3.84,4.2,30.1242,18.464,3.53,5.1,13.4,58903,863.55
1/10/64,31.12,2.7835,3.36,3.86,4.19,29.707,18.477,3.57,5.1,13.4,58794,875.26
1/11/64,31.21,2.7848,3.52,3.91,4.15,30.6249,18.502,3.64,4.8,13.4,59217,880.04
1/12/64,31.25,2.7906,3.85,4.02,4.18,30.9865,18.529,3.84,5,13.4,59421,866.73
1/1/65,31.28,2.7913,3.9,3.94,4.19,31.3203,18.549,3.81,4.9,13.4,59583,889.8899
1/2/65,31.28,2.7951,3.98,4.03,4.21,31.515,18.556,3.93,5.1,13.4,59800,894.4099
1/3/65,31.31,2.7924,4.04,4.06,4.21,31.9322,18.58,3.93,4.7,13.4,60003,896.4399
1/4/65,31.38,2.7962,4.09,4.04,4.2,32.0713,18.609,3.93,4.8,13.4,60259,907.71
1/5/65,31.48,2.7971,4.1,4.03,4.21,32.3216,18.651,3.89,4.6,13.4,60492,927.5
1/6/65,31.61,2.7923,4.04,3.99,4.21,32.572,18.705,3.8,4.6,13.4,60690,878.0601
1/7/65,31.58,2.791,4.09,3.98,4.2,32.8779,18.719,3.84,4.4,13.4,60963,873.4299
1/8/65,31.55,2.7908,4.12,4.07,4.25,33.017,18.723,3.84,4.4,13.4,61228,887.7
1/9/65,31.62,2.7967,4.01,4.2,4.29,33.1005,18.731,3.92,4.3,13.4,61490,922.1799
1/10/65,31.65,2.8031,4.08,4.3,4.35,33.4343,18.738,4.03,4.2,13.4,61718,944.77
1/11/65,31.75,2.8037,4.1,4.37,4.45,33.5733,18.769,4.09,4.1,13.4,61997,953.3101
1/12/65,31.85,2.8021,4.32,4.72,4.62,33.9905,18.838,4.38,4,13.4,62321,955.1899
1/1/66,31.88,2.8039,4.42,4.88,4.61,34.3243,18.86,4.59,4,13.4,62528,985.9299
1/2/66,32.08,2.8025,4.6,4.94,4.83,34.5469,18.938,4.65,3.8,13.4,62796,977.1499
1/3/66,32.18,2.7952,4.65,4.97,4.87,35.0197,18.985,4.59,3.8,13.4,63192,926.4299
1/4/66,32.28,2.7934,4.67,4.9,4.75,35.0754,19.051,4.62,3.8,13.4,63436,943.7
1/5/66,32.35,2.7923,4.9,4.93,4.78,35.4092,19.075,4.64,3.9,13.4,63711,890.7
1/6/66,32.38,2.7898,5.17,4.97,4.81,35.576,19.123,4.5,3.8,13.5,64110,888.73
1/7/66,32.45,2.7888,5.3,5.17,5.02,35.7707,19.16,4.8,3.8,13.5,64301,875.8701
1/8/66,32.65,2.7888,5.53,5.54,5.22,35.7986,19.234,4.96,3.8,13.5,64507,817.55
1/9/66,32.75,2.7893,5.4,5.82,5.18,36.1323,19.295,5.37,3.7,13.5,64644,791.6499
1/10/66,32.85,2.7916,5.53,5.58,5.01,36.3827,19.346,5.35,3.7,13.6,64854,778.1001
1/11/66,32.88,2.7911,5.76,5.54,5.16,36.1323,19.375,5.32,3.6,13.6,65019,806.55
1/12/66,32.92,2.7901,5.4,5.2,4.84,36.2158,19.415,4.96,3.8,13.6,65200,800.8601
1/1/67,32.9,2.791,4.94,4.75,4.58,36.3866,19.417,4.72,3.9,13.6,65407,830.5601
1/2/67,33,2.7941,5,4.71,4.63,35.9739,19.44,4.56,3.8,13.6,65428,851.1201
1/3/67,33,2.7963,4.53,4.35,4.54,35.7712,19.45,4.26,3.8,13.6,65530,858.1101
1/4/67,33.1,2.7992,4.05,4.11,4.59,36.1085,19.482,3.84,3.8,13.6,65467,868.6599
1/5/67,33.1,2.7969,3.94,4.15,4.85,35.7935,19.52,3.6,3.8,13.6,65619,883.74
1/6/67,33.3,2.7912,3.98,4.48,5.02,35.789,19.582,3.54,3.9,13.6,65750,872.6599
1/7/67,33.4,2.7873,3.79,5.01,5.16,35.7075,19.647,4.21,3.8,13.6,65887,888.51
1/8/67,33.5,2.7853,3.9,5.13,5.28,36.3916,19.709,4.27,3.8,13.7,66142,912.46
1/9/67,33.6,2.7837,3.99,5.24,5.3,36.3326,19.768,4.42,3.8,13.7,66164,923.45
1/10/67,33.7,2.7832,3.88,5.37,5.48,36.6285,19.823,4.56,4,13.7,66225,907.54
1/11/67,33.9,2.6618,4.13,5.61,5.75,37.1523,19.888,4.73,3.9,13.7,66703,865.4299
1/12/67,34,2.4063,4.51,5.71,5.7,37.5525,19.919,4.97,3.8,13.7,66900,887.2
1/1/68,34.1,2.4091,4.6,5.43,5.53,37.512,20.011,5,3.7,13.7,66805,884.77
1/2/68,34.2,2.4092,4.71,5.41,5.56,37.6465,20.092,4.98,3.8,13.7,67215,847.2
1/3/68,34.3,2.3997,5.05,5.58,5.74,37.764,20.157,5.17,3.7,13.7,67295,834.76
1/4/68,34.4,2.4018,5.76,5.71,5.64,37.8186,20.22,5.38,3.5,13.7,67555,893.3701
1/5/68,34.5,2.3892,6.11,6.14,5.87,38.2429,20.295,5.66,3.5,13.7,67653,905.22
1/6/68,34.7,2.3846,6.07,5.98,5.72,38.3833,20.359,5.52,3.7,13.7,67904,906.8201
1/7/68,34.9,2.39,6.02,5.65,5.5,38.3245,20.422,5.31,3.7,13.8,68125,905.3201
1/8/68,35,2.3911,6.03,5.43,5.42,38.4314,20.505,5.09,3.5,13.8,68328,883.72
1/9/68,35.1,2.3874,5.78,5.45,5.46,38.577,20.577,5.19,3.4,13.8,68487,922.8
1/10/68,35.3,2.3897,5.91,5.57,5.58,38.6536,20.668,5.35,3.4,13.8,68720,955.47
1/11/68,35.4,2.3858,5.82,5.75,5.7,39.1535,20.738,5.45,3.4,13.8,68985,964.1201
1/12/68,35.6,2.3842,6.02,6.19,6.03,39.2772,20.782,5.96,3.4,13.8,69246,968.3899
1/1/69,35.7,2.387,6.3,6.34,6.04,39.5148,20.864,6.14,3.4,13.8,69438,934.99
1/2/69,35.8,2.3914,6.61,6.41,6.19,39.7677,20.918,6.12,3.4,13.8,69700,931.29
1/3/69,36.1,2.3917,6.79,6.34,6.3,40.0795,21.017,6.02,3.4,14.3,69905,916.52
1/4/69,36.3,2.3931,7.41,6.26,6.17,39.932,21.11,6.11,3.4,14.5,70072,927.3799
1/5/69,36.4,2.3865,8.67,6.42,6.32,39.7811,21.195,6.04,3.4,14.5,70328,954.8601
1/6/69,36.6,2.3895,8.9,7.04,6.57,40.1698,21.298,6.44,3.5,14.5,70636,896.6101
1/7/69,36.8,2.3904,8.61,7.6,6.72,40.3818,21.392,7,3.5,14.5,70729,844.02
1/8/69,36.9,2.3853,9.19,7.54,6.69,40.4746,21.452,6.98,3.5,14.5,71006,825.46
1/9/69,37.1,2.384,9.15,7.82,7.16,40.4655,21.541,7.09,3.7,14.5,70917,826.71
1/10/69,37.3,2.3902,9,7.64,7.1,40.4774,21.615,7,3.7,14.5,71120,832.51
1/11/69,37.5,2.3963,8.85,7.89,7.14,40.0958,21.708,7.24,3.5,14.5,71087,841.0801
1/12/69,37.7,2.3973,8.97,8.17,7.65,39.9882,21.808,7.82,3.5,14.5,71240,789.22
1/1/70,37.9,2.4004,8.98,8.1,7.79,39.2477,21.885,7.87,3.9,14.5,71176,782.1699
1/2/70,38.1,2.4047,8.98,7.59,7.24,39.2219,21.973,7.13,4.2,14.5,71304,756.21
1/3/70,38.3,2.4058,7.76,6.97,7.07,39.171,22.027,6.63,4.4,14.5,71452,777.6201
1/4/70,38.5,2.4061,8.1,7.06,7.39,39.0702,22.139,6.51,4.6,14.5,71348,771.6499
1/5/70,38.6,2.4037,7.94,7.75,7.91,39.0247,22.209,6.84,4.8,14.5,71123,691.9399
1/6/70,38.8,2.3977,7.6,7.55,7.84,38.8985,22.267,6.68,4.9,14.5,71029,699.3
1/7/70,38.9,2.3906,7.21,7.1,7.46,38.994,22.348,6.45,5,14.3,71053,712.8
1/8/70,39,2.3877,6.61,6.98,7.53,38.9245,22.407,6.41,5.1,14.3,70933,733
1/9/70,39.2,2.3853,6.29,6.73,7.39,38.6561,22.508,6.12,5.4,14.3,70948,759.0601
1/10/70,39.4,2.3874,6.2,6.43,7.33,37.8829,22.619,5.91,5.5,14.3,70519,763.72
1/11/70,39.6,2.3903,5.6,5.51,6.84,37.6534,22.708,5.28,5.9,14.3,70409,769.27
1/12/70,39.8,2.3906,4.9,5,6.39,38.5182,22.809,4.87,6.1,15.4,70790,821.4199
1/1/71,39.9,2.4058,4.14,4.57,6.24,38.8144,22.857,4.44,5.9,15.6,70866,849.04
1/2/71,39.9,2.4178,3.72,3.89,6.11,38.7405,22.924,3.7,5.9,15.6,70806,879.6899
1/3/71,40,2.4187,3.71,3.69,5.7,38.6985,23.001,3.38,6,15.6,70859,901.29
1/4/71,40.1,2.4179,4.15,4.3,5.83,38.9158,23.09,3.86,5.9,15.6,71037,932.54
1/5/71,40.3,2.4187,4.63,5.04,6.39,39.1133,23.187,4.14,5.9,15.6,71247,925.49
1/6/71,40.5,2.4188,4.91,5.64,6.52,39.2773,23.289,4.75,5.9,15.6,71253,900.4299
1/7/71,40.6,2.4185,5.31,6.04,6.73,39.1633,23.36,5.4,6,15.6,71315,887.8101
1/8/71,40.7,2.4346,5.56,5.8,6.58,38.936,23.428,4.94,6.1,15.6,71370,875.3999
1/9/71,40.8,2.4694,5.55,5.41,6.14,39.5688,23.463,4.69,6,15.6,71617,901.22
1/10/71,40.9,2.4896,5.2,4.91,5.93,39.865,23.499,4.46,5.8,15.6,71642,872.1499
1/11/71,41,2.4933,4.91,4.67,5.81,40.0342,23.548,4.22,6,15.6,71846,822.1101
1/12/71,41.1,2.5266,4.14,4.6,5.93,40.4964,23.641,4.01,6,15.6,72108,869.8999
1/1/72,41.2,2.5705,3.5,4.28,5.95,41.4709,23.738,3.38,5.8,15.4,72445,904.6499
1/2/72,41.4,2.6037,3.29,4.27,6.08,41.8616,23.832,3.2,5.7,15.4,72652,914.3701
1/3/72,41.4,2.6181,3.83,4.67,6.07,42.1645,23.866,3.73,5.8,15.4,72945,939.23
1/4/72,41.5,2.6102,4.17,4.96,6.19,42.6064,23.903,3.71,5.7,15.4,73163,958.1599
1/5/72,41.6,2.6124,4.27,4.64,6.13,42.582,23.955,3.69,5.7,15.4,73467,948.22
1/6/72,41.7,2.5691,4.46,4.93,6.11,42.7051,23.992,3.91,5.7,15.4,73760,943.4299
1/7/72,41.8,2.4447,4.55,4.96,6.11,42.6924,24.078,3.98,5.6,15.4,73708,925.9199
1/8/72,41.9,2.4502,4.8,4.98,6.21,43.2568,24.148,4.02,5.6,15.6,74138,958.3401
1/9/72,42.1,2.441,4.87,5.52,6.55,43.5838,24.256,4.66,5.5,15.6,74263,950.5801
1/10/72,42.2,2.3948,5.04,5.52,6.48,44.1699,24.283,4.74,5.6,15.6,74673,944.1001
1/11/72,42.4,2.3515,5.06,5.27,6.28,44.6846,24.356,4.78,5.3,15.6,74967,1001.19
1/12/72,42.5,2.3449,5.33,5.52,6.36,45.2006,24.434,5.07,5.2,15.6,75270,1020.32
1/1/73,42.7,2.3563,5.94,5.89,6.46,45.498,24.508,5.41,4.9,15.6,75621,1026.82
1/2/73,43,2.4272,6.58,6.19,6.64,46.1773,24.637,5.6,5,15.6,76017,974.04
1/3/73,43.4,2.4724,7.09,6.85,6.71,46.1937,24.812,6.09,4.9,15.7,76285,957.3501
1/4/73,43.7,2.4837,7.12,6.85,6.67,46.1272,24.997,6.26,5,16,76455,944.1001
1/5/73,43.9,2.5306,7.84,6.89,6.85,46.4199,25.12,6.36,4.9,16.6,76646,922.4099
1/6/73,44.2,2.5762,8.49,7.31,6.9,46.4535,25.263,7.19,4.9,17.1,76887,893.8999
1/7/73,44.2,2.5375,10.4,8.39,7.13,46.648,25.355,8.01,4.8,17.2,76911,903.6101
1/8/73,45,2.4757,10.5,8.82,7.4,46.5669,25.647,8.67,4.8,17.2,77166,883.73
1/9/73,45.2,2.4183,10.78,8.31,7.09,46.9866,25.75,8.29,4.8,18.2,77276,909.98
1/10/73,45.6,2.4292,10.01,7.4,6.79,47.2997,25.895,7.22,4.6,18.2,77606,967.6201
1/11/73,45.9,2.387,10.03,7.57,6.73,47.548,26.107,7.83,4.8,19,77912,878.98
1/12/73,46.3,2.3174,9.95,7.27,6.74,47.4375,26.322,7.45,4.9,19.9,78035,824.0801
1/1/74,46.8,2.224,9.65,7.42,6.99,47.1083,26.574,7.77,5.1,24.3,78104,857.24
1/2/74,47.3,2.2749,8.97,6.88,6.96,46.9634,26.883,7.12,5.2,27.5,78254,831.33
1/3/74,47.8,2.3406,9.35,7.76,7.21,46.9733,27.195,7.96,5.1,27.5,78296,873.99
1/4/74,48.1,2.3886,10.51,8.62,7.51,46.83,27.387,8.33,5.1,27.5,78382,847.76
1/5/74,48.6,2.4137,11.31,8.78,7.58,47.1848,27.657,8.23,5.1,27.5,78547,830.25
1/6/74,49,2.3902,11.93,8.67,7.54,47.1292,27.891,7.9,5.4,27.5,78602,831.44
1/7/74,49.3,2.3896,12.92,8.8,7.81,47.1505,28.098,7.55,5.5,30.6,78635,782.99
1/8/74,49.9,2.3456,12.01,9.36,8.04,46.6882,28.391,8.96,5.5,30.7,78619,729.3
1/9/74,50.6,2.3165,11.34,8.87,8.04,46.7161,28.687,8.06,5.9,30.7,78611,651.27
1/10/74,51,2.333,10.06,8.05,7.9,46.536,28.893,7.46,6,30.8,78629,638.62
1/11/74,51.5,2.3252,9.45,7.66,7.68,45.0062,29.11,7.47,6.6,31.5,78261,642.1
1/12/74,51.9,2.3294,8.53,7.31,7.43,43.4204,29.341,7.15,7.2,30.4,77657,596.5
1/1/75,52.3,2.3623,7.13,6.83,7.5,42.8246,29.523,6.26,8.1,30.4,77297,659.08
1/2/75,52.6,2.3958,6.24,5.98,7.39,41.8301,29.684,5.5,8.1,31.2,76919,724.88
1/3/75,52.8,2.418,5.54,6.11,7.73,41.3862,29.786,5.49,8.6,31.4,76649,765.04
1/4/75,53,2.3707,5.49,6.9,8.23,41.4258,29.887,5.61,8.8,31.7,76461,790.91
1/5/75,53.1,2.3205,5.22,6.39,8.06,41.3326,30.007,5.23,9,31.9,76623,836.55
1/6/75,53.5,2.2803,5.55,6.29,7.86,41.6042,30.195,5.34,8.8,34.9,76520,845.7
1/7/75,54,2.1845,6.1,7.11,8.06,42.0025,30.454,6.13,8.6,34.1,76769,856.28
1/8/75,54.2,2.1143,6.14,7.7,8.4,42.4426,30.586,6.44,8.4,34.9,77155,815.51
1/9/75,54.6,2.0834,6.24,7.75,8.43,42.9708,30.737,6.42,8.4,34.9,77230,818.28
1/10/75,54.9,2.0568,5.82,6.95,8.14,43.1611,30.916,5.96,8.4,35.2,77535,831.26
1/11/75,55.3,2.0484,5.22,6.49,8.05,43.2561,31.114,5.48,8.3,35.6,77680,845.51
1/12/75,55.6,2.0221,5.2,6.6,8,43.7944,31.286,5.44,8.2,35.8,78018,840.79
1/1/76,55.8,2.0286,4.87,5.81,7.74,44.4309,31.406,4.87,7.9,35.9,78506,929.34
1/2/76,55.9,2.0262,4.77,5.91,7.79,44.8644,31.447,4.88,7.7,33,78817,971.7
1/3/76,56,1.9428,4.84,6.21,7.73,44.916,31.494,5,7.6,33.1,79049,988.55
1/4/76,56.1,1.8463,4.82,5.92,7.56,45.1733,31.565,4.86,7.7,33.4,79292,992.54
1/5/76,56.4,1.8079,5.29,6.4,7.9,45.3729,31.716,5.2,7.4,33.5,79311,988.82
1/6/76,56.7,1.764,5.48,6.52,7.86,45.3841,31.853,5.41,7.6,33.8,79376,985.59
1/7/76,57,1.785,5.31,6.2,7.83,45.6491,32.014,5.23,7.8,34.7,79547,993.2
1/8/76,57.3,1.7828,5.29,6,7.77,45.9698,32.19,5.14,7.8,34.7,79704,981.63
1/9/76,57.6,1.7272,5.25,5.84,7.59,46.1015,32.371,5.08,7.6,34.7,79892,994.37
1/10/76,57.9,1.6377,5.02,5.5,7.41,46.1172,32.541,4.92,7.7,36.1,79905,951.95
